person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_percent_income,cb_person_default_on_file
25,306000,RENT,2.0,DEBTCONSOLIDATION,24250,0.08,N
26,300000,MORTGAGE,10.0,MEDICAL,7800,0.03,N
21,12000,OWN,5.0,EDUCATION,2500,0.21,N
22,48000,RENT,1.0,EDUCATION,30000,0.63,N
24,64000,RENT,8.0,DEBTCONSOLIDATION,30000,0.47,Y
25,75000,RENT,4.0,HOMEIMPROVEMENT,30000,0.4,Y
23,71500,RENT,3.0,DEBTCONSOLIDATION,30000,0.42,N
26,62050,RENT,6.0,MEDICAL,30000,0.41,N
24,12000,OWN,4.0,VENTURE,2500,0.21,N
26,300000,MORTGAGE,10.0,VENTURE,20000,0.07,N
23,300000,OWN,1.0,EDUCATION,24250,0.08,Y
26,300000,OWN,9.0,HOMEIMPROVEMENT,10000,0.03,N
26,300000,MORTGAGE,0.0,EDUCATION,25000,0.08,N
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,18000,0.06,N
26,80690,RENT,8.0,PERSONAL,30000,0.37,N
22,66300,RENT,4.0,MEDICAL,30000,0.38,N
26,89028,RENT,0.0,DEBTCONSOLIDATION,30000,0.34,N
24,78000,RENT,4.0,DEBTCONSOLIDATION,30000,0.38,Y
23,78000,RENT,7.0,DEBTCONSOLIDATION,30000,0.38,Y
23,92004,RENT,6.0,PERSONAL,30000,0.33,Y
23,97000,RENT,7.0,VENTURE,30000,0.31,N
25,120000,RENT,9.0,EDUCATION,30000,0.25,N
26,280000,RENT,4.0,PERSONAL,10000,0.04,Y
26,277104,RENT,0.0,VENTURE,20000,0.07,N
23,277000,OWN,3.0,PERSONAL,35000,0.13,N
25,128000,RENT,9.0,PERSONAL,30000,0.23,N
24,12000,OWN,2.0,VENTURE,1750,0.15,Y
21,131000,RENT,0.0,VENTURE,30000,0.23,N
22,275000,OWN,6.0,VENTURE,12000,0.04,N
26,263000,MORTGAGE,0.0,EDUCATION,10000,0.04,N
25,221850,MORTGAGE,9.0,MEDICAL,25000,0.1,N
22,70000,RENT,6.0,EDUCATION,29100,0.42,N
22,12000,MORTGAGE,7.0,EDUCATION,1500,0.13,Y
26,260000,OWN,10.0,HOMEIMPROVEMENT,28000,0.11,N
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,20000,0.08,Y
24,255000,MORTGAGE,9.0,EDUCATION,9600,0.04,N
25,250000,RENT,2.0,MEDICAL,25000,0.1,N
25,12000,OWN,0.0,MEDICAL,3000,0.25,N
22,56950,RENT,6.0,MEDICAL,28000,0.49,N
21,12000,OWN,6.0,EDUCATION,3000,0.25,Y
23,65000,RENT,2.0,EDUCATION,28000,0.43,N
26,85000,RENT,2.0,VENTURE,28000,0.33,N
26,12000,OWN,2.0,EDUCATION,6100,0.51,N
22,88000,RENT,6.0,VENTURE,28000,0.32,N
21,12000,OWN,0.0,PERSONAL,4200,0.35,Y
22,12000,OWN,6.0,DEBTCONSOLIDATION,4750,0.4,N
24,83004,RENT,0.0,VENTURE,28000,0.34,Y
24,250000,RENT,2.0,EDUCATION,18000,0.07,Y
144,250000,RENT,4.0,VENTURE,4800,0.02,N
25,100000,RENT,5.0,DEBTCONSOLIDATION,28000,0.28,N
26,110000,RENT,10.0,EDUCATION,28000,0.25,N
26,12000,OWN,0.0,DEBTCONSOLIDATION,2700,0.23,N
22,108000,RENT,6.0,EDUCATION,28000,0.26,N
23,151200,RENT,7.0,DEBTCONSOLIDATION,28000,0.19,N
24,69000,RENT,2.0,HOMEIMPROVEMENT,27600,0.4,N
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,3250,0.27,Y
22,70000,RENT,4.0,EDUCATION,27500,0.39,Y
22,240000,OWN,6.0,PERSONAL,25000,0.1,N
26,73200,RENT,5.0,VENTURE,27050,0.37,Y
24,83000,RENT,5.0,PERSONAL,27000,0.33,Y
24,73399,RENT,0.0,VENTURE,27000,0.37,N
23,62500,RENT,7.0,MEDICAL,26000,0.42,N
23,120000,RENT,1.0,EDUCATION,25600,0.21,N
24,12360,OWN,2.0,MEDICAL,1600,0.13,N
22,60000,RENT,0.0,VENTURE,25475,0.42,N
25,234000,MORTGAGE,3.0,MEDICAL,20000,0.09,Y
24,234000,OWN,8.0,HOMEIMPROVEMENT,20000,0.09,N
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,21600,0.09,N
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,11900,0.05,Y
26,232500,MORTGAGE,0.0,MEDICAL,25000,0.11,Y
25,230000,MORTGAGE,5.0,MEDICAL,35000,0.15,N
23,83000,RENT,7.0,EDUCATION,25300,0.3,N
22,12600,MORTGAGE,,PERSONAL,2000,0.16,N
25,12600,OWN,3.0,PERSONAL,1750,0.14,N
21,42500,RENT,3.0,EDUCATION,25000,0.59,Y
24,41000,RENT,2.0,HOMEIMPROVEMENT,25000,0.61,N
25,12816,OWN,0.0,DEBTCONSOLIDATION,3000,0.23,Y
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,3650,0.28,N
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,20000,0.09,N
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,30000,0.13,Y
26,213000,MORTGAGE,6.0,EDUCATION,35000,0.16,N
24,225000,RENT,0.0,MEDICAL,6000,0.03,N
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,4500,0.35,N
23,12996,OWN,0.0,DEBTCONSOLIDATION,2400,0.18,Y
22,42000,RENT,6.0,MEDICAL,25000,0.6,Y
26,48000,RENT,2.0,EDUCATION,25000,0.52,N
25,12996,OWN,1.0,MEDICAL,3600,0.28,N
22,12996,OWN,1.0,EDUCATION,4750,0.37,N
25,42360,RENT,1.0,EDUCATION,25000,0.59,Y
21,49000,RENT,4.0,EDUCATION,25000,0.51,N
25,225000,MORTGAGE,0.0,VENTURE,25000,0.11,N
26,225000,RENT,1.0,EDUCATION,3000,0.01,N
23,225000,RENT,8.0,DEBTCONSOLIDATION,7500,0.03,N
26,225000,MORTGAGE,2.0,VENTURE,25000,0.11,N
22,49464,RENT,5.0,PERSONAL,25000,0.51,N
23,50000,RENT,1.0,DEBTCONSOLIDATION,25000,0.5,N
25,50000,RENT,4.0,HOMEIMPROVEMENT,25000,0.5,N
24,44000,RENT,2.0,DEBTCONSOLIDATION,25000,0.57,N
23,50000,RENT,1.0,VENTURE,25000,0.5,N
22,50004,RENT,0.0,VENTURE,25000,0.5,N
22,50004,RENT,3.0,VENTURE,25000,0.5,N
22,52000,RENT,2.0,EDUCATION,25000,0.48,N
23,13200,OWN,3.0,DEBTCONSOLIDATION,4950,0.38,N
24,220000,MORTGAGE,1.0,EDUCATION,25000,0.11,N
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,21000,0.1,N
25,216000,MORTGAGE,2.0,EDUCATION,25000,0.12,N
26,216000,MORTGAGE,10.0,EDUCATION,20000,0.09,Y
23,215000,MORTGAGE,7.0,MEDICAL,35000,0.16,Y
26,215000,MORTGAGE,11.0,EDUCATION,12000,0.06,N
23,52000,RENT,1.0,PERSONAL,25000,0.48,N
26,46000,RENT,2.0,DEBTCONSOLIDATION,25000,0.54,N
22,53000,RENT,5.0,EDUCATION,25000,0.47,Y
26,47000,RENT,0.0,HOMEIMPROVEMENT,25000,0.53,Y
23,47000,RENT,1.0,VENTURE,25000,0.53,N
23,13200,MORTGAGE,2.0,EDUCATION,1400,0.11,N
21,13200,OWN,0.0,VENTURE,4500,0.34,N
22,210000,MORTGAGE,6.0,VENTURE,16000,0.08,N
26,210000,OWN,10.0,PERSONAL,22000,0.1,N
26,48000,RENT,5.0,VENTURE,25000,0.52,N
22,54996,RENT,6.0,EDUCATION,25000,0.45,N
24,55000,RENT,4.0,HOMEIMPROVEMENT,25000,0.45,Y
23,55000,RENT,4.0,EDUCATION,25000,0.45,N
23,55000,RENT,4.0,EDUCATION,25000,0.45,Y
24,55164,RENT,8.0,PERSONAL,25000,0.45,Y
26,56000,RENT,4.0,DEBTCONSOLIDATION,25000,0.45,N
24,203500,OWN,8.0,MEDICAL,20000,0.1,N
23,190000,MORTGAGE,5.0,EDUCATION,22000,0.12,Y
23,13920,OWN,2.0,PERSONAL,7750,0.56,N
24,60000,RENT,0.0,PERSONAL,25000,0.42,N
24,60000,RENT,2.0,PERSONAL,25000,0.42,N
26,54000,RENT,7.0,DEBTCONSOLIDATION,25000,0.46,Y
23,14000,OWN,2.0,DEBTCONSOLIDATION,4000,0.29,N
24,200000,RENT,8.0,MEDICAL,12000,0.06,N
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,12000,0.06,N
21,200000,MORTGAGE,5.0,EDUCATION,16000,0.08,N
25,54000,RENT,3.0,HOMEIMPROVEMENT,25000,0.46,N
23,60000,RENT,3.0,PERSONAL,25000,0.42,N
23,60000,RENT,7.0,PERSONAL,25000,0.42,N
21,60000,RENT,6.0,EDUCATION,25000,0.42,N
25,61959,RENT,9.0,MEDICAL,25000,0.4,N
22,56400,RENT,2.0,HOMEIMPROVEMENT,25000,0.44,Y
23,200000,MORTGAGE,7.0,EDUCATION,28000,0.14,N
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,25000,0.13,N
24,200000,MORTGAGE,3.0,VENTURE,24000,0.12,N
26,200000,MORTGAGE,4.0,EDUCATION,15000,0.07,N
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,15500,0.08,N
24,200000,RENT,8.0,EDUCATION,10000,0.05,N
24,66000,RENT,3.0,EDUCATION,25000,0.38,N
22,66000,RENT,6.0,EDUCATION,25000,0.38,Y
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,9000,0.04,N
144,200000,MORTGAGE,4.0,EDUCATION,6000,0.03,N
25,200000,RENT,5.0,EDUCATION,18000,0.09,N
25,200000,MORTGAGE,2.0,VENTURE,12000,0.06,N
25,200000,MORTGAGE,9.0,PERSONAL,23050,0.12,N
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,20000,0.1,N
24,60000,RENT,2.0,DEBTCONSOLIDATION,25000,0.42,Y
21,14400,OWN,0.0,HOMEIMPROVEMENT,3000,0.21,N
26,66996,RENT,10.0,PERSONAL,25000,0.37,Y
23,67000,RENT,3.0,EDUCATION,25000,0.37,N
24,67000,RENT,2.0,VENTURE,25000,0.37,N
24,68000,RENT,5.0,PERSONAL,25000,0.37,Y
25,69000,RENT,9.0,PERSONAL,25000,0.36,N
25,200000,MORTGAGE,0.0,EDUCATION,12000,0.06,N
26,188000,MORTGAGE,10.0,VENTURE,20000,0.11,N
26,200000,MORTGAGE,4.0,PERSONAL,3000,0.01,N
25,69996,RENT,9.0,EDUCATION,25000,0.36,N
22,14400,OWN,2.0,MEDICAL,4000,0.28,N
24,70000,RENT,3.0,EDUCATION,25000,0.36,N
24,14400,OWN,5.0,PERSONAL,6000,0.42,N
24,56100,RENT,7.0,MEDICAL,25000,0.38,N
25,66000,RENT,9.0,VENTURE,25000,0.38,Y
26,66000,RENT,3.0,HOMEIMPROVEMENT,25000,0.38,N
25,14400,OWN,7.0,EDUCATION,5375,0.37,N
25,72612,RENT,9.0,MEDICAL,25000,0.34,N
23,74000,RENT,3.0,MEDICAL,25000,0.34,N
25,75000,RENT,9.0,DEBTCONSOLIDATION,25000,0.33,N
24,192000,RENT,0.0,MEDICAL,22000,0.11,Y
21,192000,MORTGAGE,123.0,VENTURE,20000,0.1,N
25,191000,MORTGAGE,1.0,MEDICAL,10000,0.05,N
26,190300,MORTGAGE,5.0,PERSONAL,15000,0.08,N
22,190000,MORTGAGE,3.0,VENTURE,10000,0.05,N
24,75000,RENT,4.0,EDUCATION,25000,0.33,N
22,71000,RENT,1.0,EDUCATION,25000,0.35,Y
26,190000,MORTGAGE,3.0,VENTURE,20000,0.11,N
23,189996,OWN,0.0,PERSONAL,24000,0.13,N
23,78000,RENT,7.0,DEBTCONSOLIDATION,25000,0.32,Y
23,78000,RENT,1.0,VENTURE,25000,0.32,N
23,78504,RENT,7.0,VENTURE,25000,0.32,N
25,186000,OWN,9.0,VENTURE,10000,0.05,N
24,185000,MORTGAGE,,EDUCATION,35000,0.19,N
25,185000,RENT,6.0,VENTURE,15000,0.08,N
24,62050,RENT,8.0,MEDICAL,25000,0.34,Y
23,79416,RENT,7.0,VENTURE,25000,0.31,Y
21,14400,OWN,4.0,VENTURE,6250,0.43,N
24,79631,RENT,8.0,PERSONAL,25000,0.31,Y
24,79632,RENT,0.0,EDUCATION,25000,0.31,N
21,14400,MORTGAGE,0.0,MEDICAL,1500,0.1,N
24,80000,RENT,6.0,EDUCATION,25000,0.31,N
26,80000,RENT,5.0,DEBTCONSOLIDATION,25000,0.31,N
22,185000,RENT,4.0,MEDICAL,25000,0.14,N
26,185000,OWN,10.0,PERSONAL,5000,0.03,N
24,184992,RENT,7.0,HOMEIMPROVEMENT,22000,0.12,Y
23,184000,OWN,5.0,EDUCATION,2500,0.01,N
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,20000,0.12,Y
24,183000,MORTGAGE,2.0,MEDICAL,20000,0.11,N
22,183000,MORTGAGE,3.0,EDUCATION,1000,0.01,N
25,182952,MORTGAGE,9.0,PERSONAL,15000,0.08,N
23,74004,RENT,7.0,DEBTCONSOLIDATION,25000,0.34,N
26,74004,RENT,10.0,DEBTCONSOLIDATION,25000,0.34,Y
25,81000,RENT,5.0,DEBTCONSOLIDATION,25000,0.31,N
23,81600,RENT,1.0,MEDICAL,25000,0.31,N
24,82000,RENT,8.0,VENTURE,25000,0.3,N
24,83000,RENT,5.0,EDUCATION,25000,0.3,N
24,83000,RENT,5.0,PERSONAL,25000,0.3,Y
24,180000,RENT,8.0,EDUCATION,18000,0.1,Y
23,180000,MORTGAGE,8.0,PERSONAL,28000,0.16,N
23,14400,OWN,2.0,HOMEIMPROVEMENT,4000,0.28,N
22,14400,OWN,0.0,PERSONAL,2100,0.15,N
22,84500,RENT,6.0,PERSONAL,25000,0.3,N
24,85000,RENT,5.0,MEDICAL,25000,0.29,N
24,180000,MORTGAGE,7.0,VENTURE,14000,0.08,N
26,180000,MORTGAGE,2.0,VENTURE,12000,0.07,N
25,142800,MORTGAGE,9.0,MEDICAL,10000,0.06,N
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,6000,0.41,N
24,87000,RENT,8.0,HOMEIMPROVEMENT,25000,0.29,N
24,75000,RENT,0.0,VENTURE,25000,0.33,Y
23,76000,RENT,7.0,DEBTCONSOLIDATION,25000,0.33,N
23,66215,RENT,1.0,MEDICAL,25000,0.32,Y
25,90000,RENT,9.0,MEDICAL,25000,0.28,N
21,15000,OWN,0.0,HOMEIMPROVEMENT,6200,0.41,N
26,180000,OWN,2.0,PERSONAL,25000,0.14,N
24,180000,OWN,8.0,EDUCATION,21000,0.12,N
25,180000,OWN,9.0,MEDICAL,20000,0.11,Y
26,180000,OWN,0.0,HOMEIMPROVEMENT,10000,0.06,N
25,180000,MORTGAGE,3.0,VENTURE,9950,0.06,N
23,15000,OWN,7.0,MEDICAL,4475,0.3,N
23,78000,RENT,2.0,VENTURE,25000,0.32,Y
25,66300,RENT,3.0,MEDICAL,25000,0.32,Y
23,90000,RENT,0.0,DEBTCONSOLIDATION,25000,0.28,N
24,79000,RENT,9.0,DEBTCONSOLIDATION,25000,0.32,Y
24,91800,RENT,4.0,PERSONAL,25000,0.27,Y
25,92000,RENT,6.0,HOMEIMPROVEMENT,25000,0.27,N
24,92000,RENT,1.0,VENTURE,25000,0.27,Y
23,93600,RENT,3.0,VENTURE,25000,0.27,N
23,15000,MORTGAGE,1.0,MEDICAL,1750,0.12,Y
23,70550,RENT,3.0,MEDICAL,25000,0.3,Y
25,83800,RENT,2.0,DEBTCONSOLIDATION,25000,0.3,Y
26,175000,MORTGAGE,3.0,VENTURE,2600,0.01,N
25,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,8000,0.05,N
22,175000,MORTGAGE,6.0,EDUCATION,18000,0.1,N
23,175000,MORTGAGE,8.0,PERSONAL,21000,0.12,N
23,15000,OWN,4.0,DEBTCONSOLIDATION,4000,0.27,N
23,15000,OWN,4.0,VENTURE,4600,0.31,N
22,88000,RENT,6.0,DEBTCONSOLIDATION,25000,0.28,Y
25,74800,RENT,2.0,MEDICAL,25000,0.28,N
25,88000,RENT,0.0,VENTURE,25000,0.28,N
25,15000,OWN,2.0,HOMEIMPROVEMENT,1750,0.12,Y
26,88000,RENT,2.0,VENTURE,25000,0.28,N
25,100000,RENT,1.0,VENTURE,25000,0.25,N
23,15000,MORTGAGE,0.0,PERSONAL,3600,0.24,N
24,102400,RENT,8.0,PERSONAL,25000,0.24,N
24,92000,RENT,1.0,HOMEIMPROVEMENT,25000,0.27,Y
23,93000,RENT,0.0,DEBTCONSOLIDATION,25000,0.27,Y
22,175000,RENT,6.0,VENTURE,3500,0.02,Y
23,175000,MORTGAGE,3.0,EDUCATION,7200,0.04,N
25,174708,RENT,9.0,VENTURE,9000,0.05,N
25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,8800,0.05,N
26,174000,RENT,8.0,DEBTCONSOLIDATION,12000,0.07,N
25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,25000,0.15,Y
26,173467,MORTGAGE,10.0,VENTURE,10000,0.06,N
21,15000,OWN,0.0,HOMEIMPROVEMENT,3175,0.21,Y
25,96000,RENT,2.0,HOMEIMPROVEMENT,25000,0.26,Y
21,15120,MORTGAGE,0.0,EDUCATION,1500,0.1,N
24,97908,RENT,8.0,HOMEIMPROVEMENT,25000,0.26,Y
26,110000,RENT,3.0,PERSONAL,25000,0.23,Y
23,15204,MORTGAGE,7.0,PERSONAL,2800,0.18,N
25,159600,RENT,0.0,PERSONAL,30000,0.19,Y
24,171500,RENT,6.0,DEBTCONSOLIDATION,18000,0.1,N
25,170004,MORTGAGE,3.0,MEDICAL,10000,0.06,N
24,158004,RENT,0.0,HOMEIMPROVEMENT,25000,0.16,Y
26,170000,RENT,0.0,VENTURE,13000,0.08,N
24,83300,RENT,0.0,MEDICAL,25000,0.26,N
24,110000,RENT,7.0,HOMEIMPROVEMENT,25000,0.23,Y
22,15360,OWN,7.0,HOMEIMPROVEMENT,2500,0.16,N
25,134300,RENT,3.0,MEDICAL,5000,0.03,N
25,170000,MORTGAGE,2.0,EDUCATION,20000,0.12,N
22,100580,RENT,6.0,DEBTCONSOLIDATION,25000,0.25,Y
25,113000,RENT,7.0,MEDICAL,25000,0.22,Y
24,120000,RENT,8.0,EDUCATION,25000,0.21,N
25,120000,RENT,6.0,MEDICAL,25000,0.21,N
23,120000,RENT,7.0,EDUCATION,25000,0.21,N
24,91800,RENT,5.0,MEDICAL,25000,0.23,Y
21,15600,OWN,5.0,VENTURE,1000,0.06,N
26,108000,RENT,2.0,PERSONAL,25000,0.23,N
26,129996,RENT,6.0,PERSONAL,25000,0.19,N
23,130000,RENT,4.0,EDUCATION,25000,0.19,Y
23,130000,RENT,7.0,VENTURE,25000,0.19,N
25,170000,OWN,4.0,EDUCATION,20000,0.12,N
26,170000,MORTGAGE,0.0,VENTURE,12000,0.07,Y
22,169000,RENT,1.0,PERSONAL,14000,0.08,N
26,168750,RENT,10.0,MEDICAL,24250,0.14,Y
23,168600,RENT,3.0,EDUCATION,20000,0.12,N
24,168288,RENT,5.0,HOMEIMPROVEMENT,1800,0.01,N
25,168000,MORTGAGE,2.0,PERSONAL,35000,0.21,N
24,133300,RENT,6.0,DEBTCONSOLIDATION,25000,0.19,N
24,15600,OWN,5.0,HOMEIMPROVEMENT,3300,0.21,N
24,134000,RENT,8.0,PERSONAL,25000,0.19,Y
25,134000,RENT,7.0,MEDICAL,25000,0.19,N
25,15600,OWN,0.0,VENTURE,3200,0.21,N
25,135000,RENT,5.0,EDUCATION,25000,0.19,N
26,135660,RENT,10.0,DEBTCONSOLIDATION,25000,0.18,N
25,145000,RENT,0.0,EDUCATION,25000,0.17,N
23,150000,RENT,4.0,EDUCATION,25000,0.17,N
23,165000,MORTGAGE,3.0,EDUCATION,9600,0.06,N
22,153000,MORTGAGE,5.0,DEBTCONSOLIDATION,24000,0.16,Y
24,165000,MORTGAGE,5.0,PERSONAL,20000,0.12,N
25,165000,MORTGAGE,0.0,HOMEIMPROVEMENT,25000,0.15,N
21,165000,MORTGAGE,5.0,EDUCATION,20000,0.12,N
23,16000,OWN,7.0,MEDICAL,6000,0.38,N
23,16000,MORTGAGE,3.0,DEBTCONSOLIDATION,2275,0.14,Y
23,16000,OWN,7.0,PERSONAL,2000,0.13,N
23,148000,RENT,1.0,DEBTCONSOLIDATION,25000,0.17,N
23,16000,MORTGAGE,1.0,MEDICAL,5600,0.35,N
24,16020,OWN,3.0,VENTURE,3625,0.23,Y
22,16094,MORTGAGE,2.0,VENTURE,5500,0.34,N
25,175000,RENT,2.0,PERSONAL,25000,0.14,N
22,16200,OWN,6.0,PERSONAL,2000,0.12,N
24,185000,RENT,7.0,HOMEIMPROVEMENT,25000,0.14,Y
25,162000,RENT,9.0,PERSONAL,25000,0.15,N
26,161000,RENT,10.0,VENTURE,30000,0.19,N
22,160000,MORTGAGE,0.0,MEDICAL,35000,0.22,N
25,225000,RENT,5.0,VENTURE,25000,0.11,N
25,16400,OWN,1.0,PERSONAL,5000,0.3,N
23,16500,OWN,6.0,VENTURE,4375,0.27,N
25,49500,RENT,6.0,PERSONAL,24750,0.5,N
23,60000,RENT,4.0,DEBTCONSOLIDATION,24750,0.41,N
24,84200,RENT,8.0,MEDICAL,24500,0.29,N
22,16800,MORTGAGE,5.0,EDUCATION,2000,0.12,N
24,92000,RENT,8.0,MEDICAL,24500,0.27,N
23,160000,MORTGAGE,5.0,PERSONAL,35000,0.22,N
24,160000,MORTGAGE,9.0,VENTURE,12000,0.07,N
25,160000,MORTGAGE,1.0,PERSONAL,12000,0.07,N
26,160000,RENT,6.0,PERSONAL,25000,0.16,Y
25,125800,MORTGAGE,0.0,MEDICAL,10000,0.07,N
25,54000,RENT,2.0,PERSONAL,24250,0.45,N
23,62500,RENT,1.0,EDUCATION,24250,0.39,N
24,16800,MORTGAGE,,DEBTCONSOLIDATION,3900,0.23,N
25,68400,RENT,9.0,PERSONAL,24250,0.35,N
26,56045,RENT,1.0,MEDICAL,24250,0.37,N
22,74000,RENT,7.0,DEBTCONSOLIDATION,24250,0.33,Y
24,65453,RENT,9.0,MEDICAL,24250,0.31,N
24,89908,RENT,1.0,VENTURE,24250,0.27,N
26,78000,RENT,0.0,HOMEIMPROVEMENT,24250,0.31,Y
23,100000,RENT,0.0,PERSONAL,24250,0.24,Y
23,103000,RENT,6.0,PERSONAL,24250,0.24,N
25,160000,MORTGAGE,2.0,EDUCATION,9000,0.06,N
25,160000,OWN,5.0,VENTURE,15000,0.09,N
24,160000,MORTGAGE,3.0,VENTURE,20000,0.13,N
23,160000,MORTGAGE,2.0,EDUCATION,25000,0.16,Y
26,160000,MORTGAGE,0.0,DEBTCONSOLIDATION,13750,0.09,N
21,160000,MORTGAGE,3.0,VENTURE,15250,0.1,Y
25,160000,MORTGAGE,3.0,VENTURE,20000,0.13,Y
22,16800,MORTGAGE,0.0,HOMEIMPROVEMENT,4750,0.28,Y
25,111996,RENT,9.0,PERSONAL,24250,0.22,N
21,16800,MORTGAGE,0.0,VENTURE,6000,0.36,N
25,115200,RENT,0.0,HOMEIMPROVEMENT,24250,0.21,N
23,144000,RENT,0.0,EDUCATION,24250,0.17,N
23,287000,RENT,3.0,EDUCATION,24250,0.08,N
22,108000,RENT,1.0,HOMEIMPROVEMENT,24150,0.22,Y
22,43000,RENT,7.0,DEBTCONSOLIDATION,24000,0.56,Y
23,47004,RENT,1.0,VENTURE,24000,0.51,N
24,48000,RENT,4.0,VENTURE,24000,0.5,Y
26,48000,RENT,4.0,MEDICAL,24000,0.5,N
21,44964,RENT,2.0,EDUCATION,24000,0.53,Y
25,52000,RENT,,PERSONAL,24000,0.46,N
22,17352,MORTGAGE,,EDUCATION,2250,0.13,Y
24,47000,RENT,3.0,PERSONAL,24000,0.51,N
22,17400,MORTGAGE,6.0,VENTURE,1000,0.06,N
22,49000,RENT,2.0,MEDICAL,24000,0.49,N
26,60000,RENT,0.0,PERSONAL,24000,0.4,N
25,60000,RENT,3.0,PERSONAL,24000,0.4,N
22,60000,RENT,0.0,PERSONAL,24000,0.4,N
21,60000,RENT,5.0,MEDICAL,24000,0.4,N
26,62004,RENT,9.0,DEBTCONSOLIDATION,24000,0.39,N
22,62400,RENT,3.0,EDUCATION,24000,0.38,N
26,65000,RENT,10.0,DEBTCONSOLIDATION,24000,0.37,N
22,17760,MORTGAGE,6.0,EDUCATION,4975,0.28,Y
23,59000,RENT,5.0,DEBTCONSOLIDATION,24000,0.41,Y
23,66000,RENT,6.0,VENTURE,24000,0.36,N
24,60000,RENT,0.0,VENTURE,24000,0.4,N
25,66143,RENT,9.0,EDUCATION,24000,0.36,N
22,62250,RENT,3.0,PERSONAL,24000,0.39,Y
24,70000,RENT,8.0,EDUCATION,24000,0.34,N
23,74000,RENT,7.0,DEBTCONSOLIDATION,24000,0.32,N
22,18000,OWN,3.0,PERSONAL,3000,0.17,N
22,75000,RENT,6.0,EDUCATION,24000,0.32,N
24,75000,RENT,9.0,MEDICAL,24000,0.32,N
24,75000,RENT,7.0,HOMEIMPROVEMENT,24000,0.32,N
26,69000,RENT,0.0,DEBTCONSOLIDATION,24000,0.35,N
23,78000,RENT,4.0,PERSONAL,24000,0.31,N
22,18000,OWN,,VENTURE,2000,0.11,N
24,80000,RENT,2.0,MEDICAL,24000,0.3,N
